article_id,tone,framing,balance,political_lean,dominant_actor
ART0001,1,ekonomski,0,pro_vlast,actor_027
ART0002,0,odgovornost,0,neutralan,actor_039
ART0003,-1,nacionalni,2,neutralan,actor_031
ART0004,0,proceduralni,0,neutralan,actor_027
ART0005,1,odgovornost,0,pro_vlast,actor_054
ART0006,1,proceduralni,0,pro_vlast,actor_054
ART0007,0,ekonomski,0,pro_vlast,actor_055
ART0008,0,nacionalni,1,neutralan,actor_031
ART0009,-1,odgovornost,1,pro_vlast,actor_043
ART0010,0,proceduralni,1,pro_hrvatska_opcija,actor_035
ART0011,0,proceduralni,0,neutralan,actor_027
ART0012,0,nacionalni,2,pro_gradjanska_opcija,actor_063
ART0013,0,ekonomski,1,neutralan,actor_018
ART0014,-2,odgovornost,0,pro_opozicija,actor_043
ART0015,0,proceduralni,0,pro_vlast,actor_027
ART0016,0,konflikt,2,neutralan,actor_020
ART0017,0,proceduralni,1,neutralan,actor_045
ART0018,1,ekonomski,0,pro_vlast,actor_064
ART0019,1,nacionalni,0,pro_vlast,actor_027
ART0020,1,proceduralni,0,pro_opozicija,actor_030
ART0021,0,proceduralni,0,neutralan,actor_012
ART0022,0,nacionalni,1,pro_vlast,actor_017
ART0023,0,proceduralni,0,neutralan,actor_045
ART0024,0,nacionalni,0,neutralan,actor_040
ART0025,1,nacionalni,0,pro_hrvatska_opcija,actor_035
ART0026,1,proceduralni,1,pro_opozicija,actor_059
ART0027,0,proceduralni,1,neutralan,actor_017
ART0028,0,nacionalni,0,pro_vlast,actor_004
ART0029,0,odgovornost,1,neutralan,actor_043
ART0030,0,ekonomski,1,neutralan,actor_043
ART0031,1,proceduralni,0,pro_vlast,actor_064
ART0032,-1,nacionalni,0,pro_srpska_opcija,actor_033
ART0033,1,odgovornost,0,pro_vlast,actor_028
ART0034,0,proceduralni,0,neutralan,actor_039
ART0035,0,proceduralni,0,neutralan,actor_055
ART0036,0,odgovornost,0,neutralan,actor_012
ART0037,0,proceduralni,1,pro_vlast,actor_031
ART0038,0,ekonomski,0,neutralan,actor_033
ART0039,-2,moralni,0,pro_opozicija,actor_054
ART0040,0,proceduralni,0,pro_opozicija,actor_023
ART0041,1,nacionalni,0,pro_hrvatska_opcija,actor_027
ART0042,0,proceduralni,2,neutralan,actor_004
ART0043,1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0044,0,nacionalni,0,neutralan,actor_027
ART0045,1,odgovornost,0,pro_vlast,actor_050
ART0046,0,nacionalni,0,neutralan,actor_040
ART0047,1,proceduralni,0,neutralan,actor_063
ART0048,1,nacionalni,0,pro_gradjanska_opcija,actor_020
ART0049,0,nacionalni,0,pro_gradjanska_opcija,actor_043
ART0050,0,proceduralni,0,neutralan,actor_049
ART0051,1,proceduralni,0,pro_vlast,actor_050
ART0052,1,proceduralni,0,pro_vlast,actor_027
ART0053,1,moralni,1,pro_vlast,actor_050
ART0054,1,proceduralni,0,pro_vlast,actor_040
ART0055,-1,odgovornost,1,pro_opozicija,actor_012
ART0056,1,nacionalni,0,pro_vlast,actor_064
ART0057,0,proceduralni,2,neutralan,actor_004
ART0058,0,konflikt,2,neutralan,actor_033
ART0059,0,proceduralni,1,neutralan,actor_039
ART0060,1,nacionalni,0,pro_bosnjacka_opcija,actor_063
ART0061,1,nacionalni,0,pro_gradjanska_opcija,actor_025
ART0062,0,proceduralni,0,pro_gradjanska_opcija,actor_027
ART0063,-1,odgovornost,0,pro_opozicija,actor_054
ART0064,0,proceduralni,1,pro_vlast,actor_064
ART0065,-1,proceduralni,0,neutralan,actor_027
ART0066,1,proceduralni,0,pro_gradjanska_opcija,actor_040
ART0067,0,odgovornost,2,neutralan,actor_031
ART0068,1,proceduralni,0,pro_vlast,actor_018
ART0069,1,proceduralni,0,pro_vlast,actor_054
ART0070,0,proceduralni,2,neutralan,actor_012
ART0071,0,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0072,1,proceduralni,0,pro_vlast,actor_043
ART0073,1,nacionalni,1,pro_bosnjacka_opcija,actor_030
ART0074,-1,moralni,1,pro_vlast,actor_045
ART0075,0,moralni,0,pro_srpska_opcija,actor_018
ART0076,1,moralni,1,pro_bosnjacka_opcija,actor_054
ART0077,1,nacionalni,0,pro_srpska_opcija,actor_027
ART0078,1,proceduralni,0,pro_vlast,actor_030
