article_id,tone,framing,balance,political_lean,dominant_actor
ART0001,1,ekonomski,0,pro_srpska_opcija,actor_031
ART0002,1,odgovornost,0,neutralan,actor_039
ART0003,-1,konflikt,1,pro_srpska_opcija,actor_031
ART0004,0,proceduralni,0,neutralan,actor_012
ART0005,-1,odgovornost,1,pro_opozicija,actor_064
ART0006,-1,odgovornost,1,pro_opozicija,actor_043
ART0007,0,proceduralni,0,neutralan,actor_026
ART0008,-1,nacionalni,1,pro_bosnjacka_opcija,actor_063
ART0009,-1,konflikt,1,pro_opozicija,actor_043
ART0010,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0011,0,proceduralni,0,neutralan,actor_018
ART0012,-1,konflikt,1,pro_bosnjacka_opcija,actor_043
ART0013,0,ekonomski,0,neutralan,actor_018
ART0014,-1,odgovornost,1,pro_opozicija,actor_043
ART0015,1,proceduralni,0,pro_srpska_opcija,actor_064
ART0016,0,nacionalni,1,nejasno,actor_020
ART0017,0,odgovornost,0,neutralan,actor_033
ART0018,1,neutralan,0,pro_srpska_opcija,actor_018
ART0019,1,nacionalni,0,pro_srpska_opcija,actor_064
ART0020,-1,odgovornost,1,pro_opozicija,actor_043
ART0021,0,proceduralni,0,neutralan,actor_039
ART0022,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0023,0,proceduralni,0,neutralan,actor_064
ART0024,1,nacionalni,0,pro_hrvatska_opcija,actor_017
ART0025,-1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0026,-1,odgovornost,1,pro_opozicija,actor_059
ART0027,0,proceduralni,1,nejasno,actor_043
ART0028,1,konflikt,0,pro_srpska_opcija,actor_031
ART0029,-1,ekonomski,1,neutralan,actor_043
ART0030,0,ekonomski,1,neutralan,actor_043
ART0031,0,proceduralni,0,neutralan,actor_064
ART0032,-1,konflikt,1,pro_srpska_opcija,actor_033
ART0033,-1,konflikt,1,pro_opozicija,actor_043
ART0034,0,proceduralni,0,neutralan,actor_039
ART0035,0,proceduralni,0,neutralan,actor_012
ART0036,0,proceduralni,0,neutralan,actor_049
ART0037,0,odgovornost,1,neutralan,actor_031
ART0038,0,proceduralni,0,neutralan,actor_033
ART0039,-1,odgovornost,0,pro_opozicija,actor_043
ART0040,-1,konflikt,1,pro_opozicija,actor_064
ART0041,1,nacionalni,0,pro_hrvatska_opcija,actor_064
ART0042,-1,konflikt,1,pro_srpska_opcija,actor_033
ART0043,-1,konflikt,1,pro_bosnjacka_opcija,actor_063
ART0044,1,nacionalni,0,pro_hrvatska_opcija,actor_064
ART0045,0,odgovornost,0,neutralan,actor_043
ART0046,1,nacionalni,1,pro_hrvatska_opcija,actor_017
ART0047,1,neutralan,0,pro_opozicija,actor_063
ART0048,1,nacionalni,0,pro_gradjanska_opcija,actor_039
ART0049,-1,nacionalni,0,pro_gradjanska_opcija,actor_012
ART0050,-1,proceduralni,1,neutralan,actor_049
ART0051,-1,odgovornost,1,pro_opozicija,actor_043
